AÑO,MUNICIPIO,ESPECIE,ANIMALES SEMBRADOS,ANIMALES COSECHADOS,PESO PROMEDIO POR ANIMAL AL COSECHAR(g),PRODUCCION ESTIMADA(kg),PRECIO AL PRODUCTOR($/kg)
2016,SOATA,CACHAMA,7000,5000,4000,20000,10000
2016,AQUITANIA,TRUCHA,55000,50000,350,17500,12000
2016,ARCABUCO,TRUCHA,290000,270000,250,67500,67500
2016,BELEN,TRUCHA,150000,100000,300,30000,13000
2016,BERBEO,TILAPIA NEGRA,600,500,500,250,5500
2016,BERBEO,TRUCHA,3000,2500,500,1250,5500
2016,BOAVITA,TILAPIA O MOJARRA ROJA,5000,4500,350,1575,10000
2016,BRICEÑO,TILAPIA O MOJARRA ROJA,30000,25000,400,10000,8000
2016,CAMPOHERMOSO,TILAPIA O MOJARRA ROJA,15000,14000,5000,70000,6000
2016,CAMPOHERMOSO,TRUCHA,1000,800,5000,4000,8000
2016,CHINAVITA,CARPA,1500,900,2000,1800,6000
2016,CHINAVITA,TILAPIA O MOJARRA ROJA,6500,5000,400,2000,6000
2016,CHINAVITA,TRUCHA,7000,6200,350,2170,14000
2016,CHIQUINQUIRA,TRUCHA,10000,9500,480,4560,10000
2016,CHISCAS,TRUCHA,3000,2500,250,625,13000
2016,CHITARAQUE,CACHAMA,10000,9000,450,4050,10800
2016,CHITARAQUE,TILAPIA O MOJARRA ROJA,70000,65000,450,29250,10800
2016,CHIVOR,TILAPIA O MOJARRA ROJA,140000,90000,350,31500,4000
2016,COPER,CACHAMA,18000,15000,500,7500,10000
2016,COPER,TILAPIA O MOJARRA ROJA,35000,30000,350,10500,10000
2016,CUBARA,BOCACHICO,16000,15000,350,5250,8000
2016,DUITAMA,TRUCHA,160000,150000,4500,675000,
2016,EL COCUY,TRUCHA,35000,30000,350,10500,13000
2016,GAMEZA,TRUCHA,4000,3600,250,900,12000
2016,GARAGOA,CACHAMA,3000,2800,700,1960,8000
2016,GARAGOA,CARPA,3500,3200,450,1440,7000
2016,GARAGOA,TILAPIA O MOJARRA ROJA,17000,15000,500,7500,8000
2016,GARAGOA,TRUCHA,8000,7200,500,3600,12000
2016,GUACAMAYAS,TILAPIA O MOJARRA ROJA,2000,1800,4000,7200,
2016,GUACAMAYAS,TRUCHA,15000,12000,4000,48000,
2016,GUAYATA,CACHAMA,2000,1800,400,720,10000
2016,GUAYATA,CARPA,1500,1400,400,560,10000
2016,GUAYATA,TILAPIA O MOJARRA ROJA,35000,33000,400,13200,10000
2016,GUAYATA,TILAPIA NEGRA,7000,6000,400,2400,10000
2016,JERICO,TILAPIA O MOJARRA ROJA,10000,7000,2500,17500,10000
2016,JERICO,TRUCHA,4000,3000,3000,9000,13000
2016,LA UVITA,TRUCHA,9250,8787,27591,242442,14000
2016,LA VICTORIA,CACHAMA,20000,19000,280,5320,8000
2016,LA VICTORIA,TILAPIA O MOJARRA ROJA,20000,19000,280,5320,8000
2016,LABRANZAGRANDE,CACHAMA,2000,1700,500,850,11000
2016,LABRANZAGRANDE,TILAPIA O MOJARRA ROJA,7000,6000,330,1980,12000
2016,LABRANZAGRANDE,TRUCHA,36000,25000,330,8250,12000
2016,MARIPI,CACHAMA,1500,12500,330,4125,7000
2016,MARIPI,TILAPIA O MOJARRA ROJA,20000,18000,330,5940,8000
2016,MARIPI,TILAPIA NEGRA,12000,11000,330,3630,8000
