NAA,CH,BC,R,RL,NR,NLR
2,0,10,0,0,0,0
2,0,10.3,0,0,0,0
2,0,10.5,0,0,0,0
2,0,9.5,0,0,0,0
2,0,9.7,0,0,0,0
2,0,10.1,0,0,0,0
2,0,9.6,0,0,0,0
2,0,10.2,0,0,0,0
2,0,10.5,0,0,0,0
2,0,10,0,0,0,0
2,0,10.7,0,0,0,0
2,0,10.6,0,0,0,0
2,0,10.5,0,0,0,0
2,0,9.5,0,0,0,0
2,0,9.3,0,0,0,0
2,0,10.1,0,0,0,0
2,0,9.6,0,0,0,0
2,0,10.2,0,0,0,0
2,0,10.5,0,0,0,0
2,0,10,0,0,0,0
2,0,10,0,0,0,0
2,0,10.3,0,0,0,0
2,0,10.5,0,0,0,0
2,0.1,2.26,0,0,0,0
2,0.1,2.3,0,0,0,0
2,0.1,2.1,0,0,0,0
2,0.1,2.63,0,0,0,0
2,0.1,2.11,0,0,0,0
2,0.1,2.31,0,0,0,0
2,0.1,2.3,0,0,0,0
2,0.1,1.97,0,0,0,0
2,0.1,2.73,0,0,0,0
2,0.1,2.22,0,0,0,0
2,0.1,2.19,0,0,0,0
2,0.1,2.32,0,0,0,0
2,0.1,2.1,0,0,0,0
2,0.1,1.67,0,0,0,0
2,0.1,2.1,0,0,0,0
2,0.1,1.34,0,0,0,0
2,0.1,2.33,0,0,0,0
2,0.1,2.11,0,0,0,0
2,0.1,2.32,0,0,0,0
2,0.1,2.13,0,0,0,0
2,0.1,2.11,0,0,0,0
2,0.1,2.08,0,0,0,0
2,0.1,2.3,0,0,0,0
2,0.3,1.62,0,0,0,0
2,0.3,1.63,0,0,0,0
2,0.3,1.52,0,0,0,0
2,0.3,1.5,0,0,0,0
2,0.3,1.46,0,0,0,0
2,0.3,1.32,0,0,0,0
2,0.3,1.65,0,0,0,0
2,0.3,1.64,0,0,0,0
2,0.3,1.85,0,0,0,0
2,0.3,1.42,0,0,0,0
2,0.3,1.65,0,0,0,0
2,0.3,1.35,0,0,0,0
2,0.3,1.93,0,0,0,0
2,0.3,1.84,0,0,0,0
2,0.3,1.55,0,0,0,0
2,0.3,1.62,0,0,0,0
2,0.3,1.76,0,0,0,0
2,0.3,1.43,0,0,0,0
2,0.3,1.73,0,0,0,0
2,0.3,1.56,0,0,0,0
2,0.3,1.65,0,0,0,0
2,0.3,1.55,0,0,0,0
2,0.3,1.62,0,0,0,0
2,0.5,1.43,50,26,5,1
2,0.5,1.74,45,12,4,2
2,0.5,1.74,40,34,5,3
2,0.5,1.58,42,29,6,1
